72
0 733 100000 100000
0 -7 98 768
1119 727 2048 768
1129 693 2048 768
1243 659 2048 768
1232 624 2048 768
1366 591 2048 768
2048 591 2264 768
2235 540 2265 595
2235 540 2328 563
2298 505 2389 548
2358 473 2452 512
2482 403 2576 445
2418 437 2516 478
2544 360 3072 395
2544 370 2574 428
2981 387 3072 768
3072 360 3103 768
4065 370 4096 768
4096 370 4127 768
4096 370 4313 393
4281 336 4376 378
4343 301 4436 342
4405 267 4500 308
4468 232 4902 257
4468 232 4500 289
4624 493 5120 517
4870 510 4964 533
4127 625 4220 649
5120 493 5895 515
5244 424 5305 500
5305 357 5802 500
5367 289 5802 500
5803 -7 5895 530
5894 289 6144 312
6184 611 6311 747
6314 530 7085 730
6314 493 7085 730
6520 438 7085 730
6638 374 7156 616
7168 285 7664 307
7385 216 7448 767
7790 336 8162 360
8007 353 8068 768
8268 611 9216 768
8654 481 9216 768
8786 343 9216 768
9216 343 9642 768
9644 373 10054 622
9644 373 9976 714
10482 609 10610 746
10577 489 10644 768
10577 489 11264 512
11134 345 11264 496
11264 268 11295 768
11264 268 12288 293
12258 286 12288 768
12288 473 12907 495
12878 489 12907 768
13379 611 13638 744
13806 -7 13899 530
14477 434 14911 450
14552 293 14681 427
15370 264 16330 288
16481 610 16874 747
16547 480 16806 615
16612 350 16742 486
17125 610 17386 747
17190 481 17319 617
17533 610 17663 747
17408 723 18432 768
34816 716 35840 768
