65
0 725 10000000 10000000
0 0 73 10000000
3350 607 3692 738
4096 98 4138 289
4135 257 4335 293
4266 631 4366 746
3779 629 3878 741
3172 629 3270 741
3322 568 3720 602
2471 226 4099 260
2921 408 3020 445
2952 308 2992 404
2921 268 3022 303
2521 407 2620 443
2552 307 2590 404
2521 268 2620 303
1065 627 1164 742
1264 547 1365 742
1495 507 1995 738
2520 127 2560 225
8423 368 8621 403
8453 410 8593 705
8423 708 8622 740
8778 468 8978 505
8810 509 8952 704
8778 708 8977 742
7168 40 7207 523
7198 487 7506 522
7204 221 7357 255
7318 160 7357 255
7792 267 8289 304
8091 268 8191 344
8152 347 8190 739
4417 571 4816 608
4447 611 4786 740
4874 633 4972 742
5079 158 5118 295
5079 158 5460 194
5421 40 5457 522
5257 441 5457 475
5357 441 5456 524
5743 256 6242 293
6044 256 6243 348
6064 348 6143 740
6143 336 6942 373
6844 257 6944 520
4919 258 5118 294
12735 271 12935 344
13466 708 13773 721
13569 668 13852 705
13672 627 13843 679
13775 588 13876 750
9116 568 9515 602
9147 610 9486 703
9116 716 10252 750
10015 569 10318 605
10240 569 10338 682
10240 649 13265 738
10539 269 10739 343
10990 609 11186 644
11040 569 11140 606
11264 20 12287 255
12339 610 12541 644
12390 572 12491 607
14237 0 14335 768


